cust_no,shouxin_date,if_t4,if_t1,fpd4,fpd1,score_chal,score_add,score_orig,score_bc1,score_bc2,v3_newfeat30_score,xgb_lr_score
160061139722,2020-09-16,0,0,,,0.26073112368408585,0.0106658265,-0.3692569786382387,0.02581418,0.011348909,0.030210625,0.010729676294571477
160061166174,2020-09-16,0,0,,,0.3789665105026867,0.06601961,6.124444647738669,0.042865153,0.028490776,0.06517262,0.2531877640158766
160061336555,2020-09-20,0,0,,,0.2597909583975329,0.01016721,-0.06874528576669978,0.03634883,0.018897882,0.021387592,0.021664213169146
160061732825,2020-09-28,0,0,,,0.2798839747157599,0.01644391,0.20934038308283465,0.036606587,0.017474115,0.043032147,0.03284307388308892
160061835304,2020-10-01,0,0,,,0.4281314187657721,0.057773586,1.5476123696185227,0.06518866,0.069628306,0.09354356,0.051428738609404286
160061882365,2020-10-02,0,0,,,0.29446824955541806,0.02308279,0.10927204977404972,0.044389687,0.026770635,0.13007633,0.035205976453515885
160062201850,2020-10-14,1,1,0.0,0.0,0.23839980856014203,0.033671048,3.3826636269655497,0.023579238,0.02012065,0.02568156,0.03693246296493847
160062571731,2020-10-15,0,1,,0.0,0.34324012777379836,0.053745344,1.403058703318853,0.018951973,0.021082267,0.1354807,0.09207451050310247
160062923576,2020-10-20,0,0,,,0.2737618105518791,0.034308795,-0.25418193788318155,0.06881396,0.016539179,0.04549653,0.042544919097332434
160063028251,2020-10-22,0,0,,,0.29275161623180146,0.029306399,5.184581985333053,0.06881396,0.016539179,0.02650299,0.024746709637584217
160063677364,2020-10-31,0,0,,,0.28745782420654353,0.042506453,1.7892273574989315,0.06881396,0.016539179,0.0848856,0.07745110792061888
160063914902,2020-11-05,0,0,,,0.4062366632333693,0.025287282,0.6951796381534361,0.06881396,0.016539179,,0.04625868709954479
160064370677,2020-11-11,0,0,,,0.2777149885272233,0.020705242,0.7137818218029692,0.06881396,0.016539179,,0.0094693099142028
160064499072,2020-11-13,0,0,,,0.3543204040026518,0.054526728,4.258814557934886,0.06881396,0.016539179,,0.1291808013469479
160064658047,2020-11-16,0,0,,,0.2892192402058881,0.07200345,0.7856940488844231,0.06881396,0.016539179,,
160064731757,2020-11-17,0,0,,,0.27051875986589824,0.049526967,1.038443300043357,0.06881396,0.016539179,,
160033058568,2020-07-07,0,0,,,0.278376983549552,0.011915887,-0.182227404071808,0.01731836,0.012883684,,0.03493707783143511
160038296187,2020-09-02,0,0,,,0.26044855415792234,0.020213014,0.770036131986796,0.023859648,0.014847424,0.053536687,0.015336737274726312
160038429346,2020-03-25,1,1,0.0,0.0,0.27005615122547244,0.0304011,0.5260716884955264,0.06881396,0.016539179,,0.008518170242068695
160043550482,2020-07-25,0,0,,,0.2682009574483137,0.021544594,0.21079565865444772,0.018287182,0.01757242,0.02049916,0.01833314359158851
160048462453,2020-05-20,1,1,0.0,0.0,0.4878404730229857,0.09815493,3.8749112516068065,0.058294855,0.023395604,,0.10707188537665496
160052967216,2020-03-31,0,0,,,0.3431459250204649,0.04968847,0.29076707058294304,0.06881396,0.016539179,,0.0872221278256229
